date,ticker,google_trends
2020-01-01,GME,0
2020-02-01,GME,0
2020-03-01,GME,1
2020-04-01,GME,1
2020-05-01,GME,1
2020-06-01,GME,1
2020-07-01,GME,0
2020-08-01,GME,0
2020-09-01,GME,1
2020-10-01,GME,1
2020-11-01,GME,2
2020-12-01,GME,2
2021-01-01,GME,100
2021-02-01,GME,69
2021-03-01,GME,27
2021-04-01,GME,12
2021-05-01,GME,10
2021-06-01,GME,11
2021-07-01,GME,5
2021-08-01,GME,4
2021-09-01,GME,4
2021-10-01,GME,3
2021-11-01,GME,4
2021-12-01,GME,3
2022-01-01,GME,4
2022-02-01,GME,3
2022-03-01,GME,4
2022-04-01,GME,3
2022-05-01,GME,3
2022-06-01,GME,2
2022-07-01,GME,3
2022-08-01,GME,2
2022-09-01,GME,2
2022-10-01,GME,2
2022-11-01,GME,1
2022-12-01,GME,1
2023-01-01,GME,1
2023-02-01,GME,1
2023-03-01,GME,1
2023-04-01,GME,1
2023-05-01,GME,1
2023-06-01,GME,1
2023-07-01,GME,1
2023-08-01,GME,1
2023-09-01,GME,1
2023-10-01,GME,1
2023-11-01,GME,1
2023-12-01,GME,1
2024-01-01,GME,2
2024-02-01,GME,2
2024-03-01,GME,1
2024-04-01,GME,1
2024-05-01,GME,12
2024-06-01,GME,12
2024-07-01,GME,2
2024-08-01,GME,1
2024-09-01,GME,1
2024-10-01,GME,1
2024-11-01,GME,2
2024-12-01,GME,2
2025-01-01,GME,1
2025-02-01,GME,1
2025-03-01,GME,1
2025-04-01,GME,1
2025-05-01,GME,1
2025-06-01,GME,1
2025-07-01,GME,1
2025-08-01,GME,1
2025-09-01,GME,1
2025-10-01,GME,1
2025-11-01,GME,1
2025-12-01,GME,1
2026-01-01,GME,1
2020-01-01,AMC,0
2020-02-01,AMC,0
2020-03-01,AMC,1
2020-04-01,AMC,2
2020-05-01,AMC,2
2020-06-01,AMC,1
2020-07-01,AMC,1
2020-08-01,AMC,1
2020-09-01,AMC,1
2020-10-01,AMC,1
2020-11-01,AMC,2
2020-12-01,AMC,2
2021-01-01,AMC,57
2021-02-01,AMC,68
2021-03-01,AMC,36
2021-04-01,AMC,17
2021-05-01,AMC,41
2021-06-01,AMC,100
2021-07-01,AMC,39
2021-08-01,AMC,32
2021-09-01,AMC,25
2021-10-01,AMC,17
2021-11-01,AMC,18
2021-12-01,AMC,18
2022-01-01,AMC,13
2022-02-01,AMC,12
2022-03-01,AMC,14
2022-04-01,AMC,9
2022-05-01,AMC,10
2022-06-01,AMC,9
2022-07-01,AMC,9
2022-08-01,AMC,16
2022-09-01,AMC,8
