week_end,google_trends,ticker
2020-01-03,0.0,AMC
2020-01-10,,AMC
2020-01-17,,AMC
2020-01-24,,AMC
2020-01-31,,AMC
2020-02-07,0.0,AMC
2020-02-14,,AMC
2020-02-21,,AMC
2020-02-28,,AMC
2020-03-06,1.0,AMC
2020-03-13,,AMC
2020-03-20,,AMC
2020-03-27,,AMC
2020-04-03,2.0,AMC
2020-04-10,,AMC
2020-04-17,,AMC
2020-04-24,,AMC
2020-05-01,2.0,AMC
2020-05-08,,AMC
2020-05-15,,AMC
2020-05-22,,AMC
2020-05-29,,AMC
2020-06-05,1.0,AMC
2020-06-12,,AMC
2020-06-19,,AMC
2020-06-26,,AMC
2020-07-03,1.0,AMC
2020-07-10,,AMC
2020-07-17,,AMC
2020-07-24,,AMC
2020-07-31,,AMC
2020-08-07,1.0,AMC
2020-08-14,,AMC
2020-08-21,,AMC
2020-08-28,,AMC
2020-09-04,1.0,AMC
2020-09-11,,AMC
2020-09-18,,AMC
2020-09-25,,AMC
2020-10-02,1.0,AMC
2020-10-09,,AMC
2020-10-16,,AMC
2020-10-23,,AMC
2020-10-30,,AMC
2020-11-06,2.0,AMC
2020-11-13,,AMC
2020-11-20,,AMC
2020-11-27,,AMC
2020-12-04,2.0,AMC
2020-12-11,,AMC
2020-12-18,,AMC
2020-12-25,,AMC
2021-01-01,57.0,AMC
2021-01-08,,AMC
2021-01-15,,AMC
2021-01-22,,AMC
2021-01-29,,AMC
2021-02-05,68.0,AMC
2021-02-12,,AMC
2021-02-19,,AMC
2021-02-26,,AMC
2021-03-05,36.0,AMC
2021-03-12,,AMC
2021-03-19,,AMC
2021-03-26,,AMC
2021-04-02,17.0,AMC
2021-04-09,,AMC
2021-04-16,,AMC
2021-04-23,,AMC
2021-04-30,,AMC
2021-05-07,41.0,AMC
2021-05-14,,AMC
2021-05-21,,AMC
2021-05-28,,AMC
2021-06-04,100.0,AMC
2021-06-11,,AMC
2021-06-18,,AMC
2021-06-25,,AMC
2021-07-02,39.0,AMC
2021-07-09,,AMC
2021-07-16,,AMC
2021-07-23,,AMC
2021-07-30,,AMC
2021-08-06,32.0,AMC
2021-08-13,,AMC
2021-08-20,,AMC
2021-08-27,,AMC
2021-09-03,25.0,AMC
2021-09-10,,AMC
2021-09-17,,AMC
2021-09-24,,AMC
2021-10-01,17.0,AMC
2021-10-08,,AMC
2021-10-15,,AMC
2021-10-22,,AMC
2021-10-29,,AMC
2021-11-05,18.0,AMC
2021-11-12,,AMC
2021-11-19,,AMC
2021-11-26,,AMC
2021-12-03,18.0,AMC
2021-12-10,,AMC
2021-12-17,,AMC
2021-12-24,,AMC
2021-12-31,,AMC
2022-01-07,13.0,AMC
2022-01-14,,AMC
2022-01-21,,AMC
2022-01-28,,AMC
2022-02-04,12.0,AMC
2022-02-11,,AMC
2022-02-18,,AMC
2022-02-25,,AMC
2022-03-04,14.0,AMC
2022-03-11,,AMC
2022-03-18,,AMC
2022-03-25,,AMC
2022-04-01,9.0,AMC
2022-04-08,,AMC
2022-04-15,,AMC
2022-04-22,,AMC
2022-04-29,,AMC
2022-05-06,10.0,AMC
2022-05-13,,AMC
2022-05-20,,AMC
2022-05-27,,AMC
2022-06-03,9.0,AMC
2022-06-10,,AMC
2022-06-17,,AMC
2022-06-24,,AMC
2022-07-01,9.0,AMC
2022-07-08,,AMC
2022-07-15,,AMC
2022-07-22,,AMC
2022-07-29,,AMC
2022-08-05,16.0,AMC
2022-08-12,,AMC
2022-08-19,,AMC
2022-08-26,,AMC
2022-09-02,8.0,AMC
2022-09-09,,AMC
2022-09-16,,AMC
2022-09-23,,AMC
2022-09-30,,AMC
2022-10-07,5.0,AMC
2022-10-14,,AMC
2022-10-21,,AMC
2022-10-28,,AMC
2022-11-04,5.0,AMC
2022-11-11,,AMC
2022-11-18,,AMC
2022-11-25,,AMC
2022-12-02,5.0,AMC
2022-12-09,,AMC
2022-12-16,,AMC
2022-12-23,,AMC
2022-12-30,,AMC
2023-01-06,6.0,AMC
2023-01-13,,AMC
2023-01-20,,AMC
2023-01-27,,AMC
2023-02-03,7.0,AMC
2023-02-10,,AMC
2023-02-17,,AMC
2023-02-24,,AMC
2023-03-03,6.0,AMC
2023-03-10,,AMC
2023-03-17,,AMC
2023-03-24,,AMC
2023-03-31,,AMC
2023-04-07,5.0,AMC
2023-04-14,,AMC
2023-04-21,,AMC
2023-04-28,,AMC
2023-05-05,4.0,AMC
2023-05-12,,AMC
2023-05-19,,AMC
2023-05-26,,AMC
2023-06-02,4.0,AMC
2023-06-09,,AMC
2023-06-16,,AMC
2023-06-23,,AMC
2023-06-30,,AMC
2023-07-07,5.0,AMC
2023-07-14,,AMC
2023-07-21,,AMC
2023-07-28,,AMC
2023-08-04,8.0,AMC
2023-08-11,,AMC
2023-08-18,,AMC
2023-08-25,,AMC
2023-09-01,5.0,AMC
2023-09-08,,AMC
2023-09-15,,AMC
2023-09-22,,AMC
2023-09-29,,AMC
2023-10-06,4.0,AMC
2023-10-13,,AMC
2023-10-20,,AMC
2023-10-27,,AMC
2023-11-03,4.0,AMC
2023-11-10,,AMC
2023-11-17,,AMC
2023-11-24,,AMC
2023-12-01,3.0,AMC
2023-12-08,,AMC
2023-12-15,,AMC
2023-12-22,,AMC
2023-12-29,,AMC
2024-01-05,3.0,AMC
2024-01-12,,AMC
2024-01-19,,AMC
2024-01-26,,AMC
2024-02-02,3.0,AMC
2024-02-09,,AMC
2024-02-16,,AMC
2024-02-23,,AMC
2024-03-01,2.0,AMC
2024-03-08,,AMC
2024-03-15,,AMC
2024-03-22,,AMC
2024-03-29,,AMC
2024-04-05,2.0,AMC
2024-04-12,,AMC
2024-04-19,,AMC
2024-04-26,,AMC
2024-05-03,12.0,AMC
2024-05-10,,AMC
2024-05-17,,AMC
2024-05-24,,AMC
2024-05-31,,AMC
2024-06-07,6.0,AMC
2024-06-14,,AMC
2024-06-21,,AMC
2024-06-28,,AMC
2024-07-05,3.0,AMC
2024-07-12,,AMC
2024-07-19,,AMC
2024-07-26,,AMC
2024-08-02,2.0,AMC
2024-08-09,,AMC
2024-08-16,,AMC
2024-08-23,,AMC
2024-08-30,,AMC
2024-09-06,2.0,AMC
2024-09-13,,AMC
2024-09-20,,AMC
2024-09-27,,AMC
2024-10-04,2.0,AMC
2024-10-11,,AMC
2024-10-18,,AMC
2024-10-25,,AMC
2024-11-01,2.0,AMC
2024-11-08,,AMC
2024-11-15,,AMC
2024-11-22,,AMC
2024-11-29,,AMC
2024-12-06,2.0,AMC
2024-12-13,,AMC
2024-12-20,,AMC
2024-12-27,,AMC
2025-01-03,2.0,AMC
2025-01-10,,AMC
2025-01-17,,AMC
2025-01-24,,AMC
2025-01-31,,AMC
2025-02-07,2.0,AMC
2025-02-14,,AMC
2025-02-21,,AMC
2025-02-28,,AMC
2025-03-07,1.0,AMC
2025-03-14,,AMC
2025-03-21,,AMC
2025-03-28,,AMC
2025-04-04,2.0,AMC
2025-04-11,,AMC
2025-04-18,,AMC
2025-04-25,,AMC
2025-05-02,2.0,AMC
2025-05-09,,AMC
2025-05-16,,AMC
2025-05-23,,AMC
2025-05-30,,AMC
2025-06-06,1.0,AMC
2025-06-13,,AMC
2025-06-20,,AMC
2025-06-27,,AMC
2025-07-04,2.0,AMC
2025-07-11,,AMC
2025-07-18,,AMC
2025-07-25,,AMC
2025-08-01,2.0,AMC
2025-08-08,,AMC
2025-08-15,,AMC
2025-08-22,,AMC
2025-08-29,,AMC
2025-09-05,1.0,AMC
2025-09-12,,AMC
2025-09-19,,AMC
2025-09-26,,AMC
2025-10-03,2.0,AMC
2025-10-10,,AMC
2025-10-17,,AMC
2025-10-24,,AMC
2025-10-31,,AMC
2025-11-07,1.0,AMC
2025-11-14,,AMC
2025-11-21,,AMC
2025-11-28,,AMC
2025-12-05,2.0,AMC
2025-12-12,,AMC
2025-12-19,,AMC
2025-12-26,,AMC
2026-01-02,1.0,AMC
2020-01-03,0.0,GME
2020-01-10,,GME
2020-01-17,,GME
2020-01-24,,GME
2020-01-31,,GME
2020-02-07,0.0,GME
2020-02-14,,GME
2020-02-21,,GME
2020-02-28,,GME
2020-03-06,1.0,GME
2020-03-13,,GME
2020-03-20,,GME
2020-03-27,,GME
2020-04-03,1.0,GME
2020-04-10,,GME
2020-04-17,,GME
2020-04-24,,GME
2020-05-01,1.0,GME
2020-05-08,,GME
2020-05-15,,GME
2020-05-22,,GME
2020-05-29,,GME
2020-06-05,1.0,GME
2020-06-12,,GME
2020-06-19,,GME
2020-06-26,,GME
2020-07-03,0.0,GME
2020-07-10,,GME
2020-07-17,,GME
2020-07-24,,GME
2020-07-31,,GME
2020-08-07,0.0,GME
2020-08-14,,GME
2020-08-21,,GME
2020-08-28,,GME
2020-09-04,1.0,GME
2020-09-11,,GME
2020-09-18,,GME
2020-09-25,,GME
